,seller_state,customer_state,frequency,freight_value,leadtime,phy_dist,inv_leadtime,inv_phy_dist
139,MA,SC,21,37.592,16.475997685185185,2815.47812815878,0.060694351814529306,0.355179459573342
140,MA,SE,5,20.398000000000003,28.80763194444445,1224.3742106084715,0.0347130233379995,0.816743762924437
141,MA,SP,140,32.26384615384616,15.84256498842593,2330.4530892140733,0.06312109186426364,0.42910110683122227
142,MA,TO,2,61.925,23.56406828703704,936.4898180445284,0.04243749372217342,1.0678172690527339
143,MG,AC,10,48.241,21.733731481481477,2686.965965278087,0.046011427023107544,0.37216697677691096
144,MG,AL,41,52.553684210526306,21.545983765838205,1508.0616098116911,0.046412362084182465,0.6631028821991352
145,MG,AM,14,34.0376923076923,24.346359508547003,2512.740378271156,0.041073902636200754,0.39797187510793747
146,MG,AP,3,44.00666666666667,25.08590663580247,2280.2909093403123,0.03986302008207291,0.4385405370445913
147,MG,BA,480,26.483292383292387,16.693655035717544,1042.1751115239654,0.059902998945432384,0.9595316458264936
148,MG,CE,86,38.17088607594936,19.637563430321148,1919.7649874609594,0.05092281451047852,0.5208970923688836
149,MG,DF,256,22.154477611940305,11.159663943016398,591.671785547263,0.08960843311287968,1.6901262227250815
150,MG,ES,241,25.51811224489797,14.025005364819528,513.4798599830898,0.07130122049781247,1.9474960518080155
151,MG,GO,213,29.32487951807227,13.348638505410538,639.4472605683889,0.07491400711725581,1.5638506279800537
152,MG,MA,72,49.83784615384615,19.639117868589743,1868.8376176641743,0.05091878396429262,0.5350919686911491
153,MG,MG,1798,17.13865030674847,8.134136160105653,259.2181534707403,0.12293868461466856,3.85775450758651
154,MG,MS,76,28.435735294117656,15.130378021173742,907.9067146206265,0.06609220196617564,1.1014347442268395
155,MG,MT,89,37.69171875,20.33022983579283,1268.4675599643822,0.04918783545867387,0.7883528373623362
156,MG,PA,110,44.85285714285713,25.13196845110908,2020.111622865117,0.039789959228437186,0.4950221505986405
157,MG,PB,70,41.42824561403508,19.452060164879796,1792.6949417121793,0.05140843651128916,0.5578193906459696
158,MG,PE,125,35.77820512820515,16.086432697253876,1708.7070845269584,0.06216418635628958,0.5852378146350589
159,MG,PI,33,41.5696875,15.053025155526624,1708.1575341465784,0.06643182946072844,0.5854260980089376
160,MG,PR,482,25.38611940298511,12.037664858577482,805.0154474651956,0.08307259021980881,1.2422121875409533
161,MG,RJ,1417,24.793690186536907,13.497406099339928,371.34524262316853,0.07408830946035651,2.6929118384176363
162,MG,RN,45,38.50727272727272,15.035394553170596,1860.615335166319,0.06650972786005968,0.5374566043284873
163,MG,RO,18,39.10875,16.592843605324074,2321.8294023694016,0.06026694542454039,0.43069486456649697
164,MG,RR,2,29.994999999999997,16.28804976851852,3118.5713712178144,0.061394704351456254,0.3206596485907892
165,MG,RS,368,32.236966666666646,16.609387108410502,1248.9094480359643,0.06020691753843401,0.800698562712133
166,MG,SC,311,29.486472727272762,16.49797873526936,906.747390948648,0.060613485812186264,1.102842985799816
167,MG,SE,45,43.129250000000006,21.30584312789352,1373.8922658155152,0.046935481219741275,0.727859108666297
168,MG,SP,3302,21.475575757575758,10.399067705238659,416.7271693520763,0.09616246651574714,2.3996515551284814
169,MG,TO,16,40.070625,16.063511284722225,1274.987405028619,0.06225288993640423,0.7843214733384394
170,MS,AC,3,21.41,19.819525462962964,1830.0243205381523,0.05045529479849124,0.546440825281454
171,MS,BA,3,42.48666666666667,30.360196759259264,1719.9711795816827,0.03293786295027945,0.5814050908941462
172,MS,DF,4,24.4275,9.606545138888889,881.4951323368838,0.1040956957514137,1.1344362133333106
173,MS,GO,1,20.4,11.127037037037036,757.5335660588364,0.089871184635356,1.32007351859354
174,MS,MG,4,24.845000000000002,14.61884548611111,1090.6599488216468,0.06840485460702539,0.9168760630482524
175,MS,MT,2,32.745,11.434149305555556,764.9483787482616,0.0874573152122586,1.3072777559661866
176,MS,PR,5,26.375,10.344800347222222,879.1550599598991,0.0966669212005159,1.137455774918264
177,MS,RJ,8,20.86,10.284333043981482,1237.9184519712937,0.0972352796942153,0.8078076535716661
178,MS,RS,1,29.31,9.08724537037037,1030.3204790985365,0.11004434889153245,0.9705717980826074
