,ID,label,recived,sent,freight_flow
203,palmares paulista,palmares paulista,1.0,0.0,1.0
204,andradas,andradas,0.0,6.0,6.0
205,hortolandia,hortolandia,149.0,311.0,460.0
206,itajai,itajai,0.0,77.0,77.0
207,sao lourenco da serra,sao lourenco da serra,8.0,0.0,8.0
208,joao ramalho,joao ramalho,2.0,0.0,2.0
209,fartura,fartura,14.0,0.0,14.0
210,sao paulo,sao paulo,16555.0,14740.0,31295.0
211,oriente,oriente,4.0,0.0,4.0
212,cosmopolis,cosmopolis,52.0,2.0,54.0
213,aguas da prata,aguas da prata,6.0,0.0,6.0
214,maracai,maracai,13.0,0.0,13.0
215,bonfim paulista,bonfim paulista,26.0,0.0,26.0
216,junqueiropolis,junqueiropolis,19.0,0.0,19.0
217,monte azul paulista,monte azul paulista,18.0,0.0,18.0
218,santa lucia,santa lucia,3.0,0.0,3.0
219,santo antonio de posse,santo antonio de posse,13.0,21.0,34.0
220,ipua,ipua,3.0,0.0,3.0
221,queiroz,queiroz,1.0,0.0,1.0
222,sorocaba,sorocaba,631.0,339.0,970.0
223,borborema,borborema,7.0,0.0,7.0
224,tecainda,tecainda,1.0,0.0,1.0
225,santa adelia,santa adelia,9.0,0.0,9.0
226,robeirao preto,robeirao preto,0.0,1.0,1.0
227,biritiba-mirim,biritiba-mirim,11.0,0.0,11.0
228,rio das pedras,rio das pedras,11.0,0.0,11.0
229,francisco morato,francisco morato,96.0,4.0,100.0
230,narandiba,narandiba,2.0,0.0,2.0
231,olimpia,olimpia,39.0,1.0,40.0
232,tapiratiba,tapiratiba,8.0,0.0,8.0
233,mendonca,mendonca,2.0,0.0,2.0
234,piraju,piraju,33.0,0.0,33.0
235,santa cruz da conceicao,santa cruz da conceicao,3.0,0.0,3.0
236,pinhalzinho,pinhalzinho,18.0,1.0,19.0
237,valinhos,valinhos,208.0,57.0,265.0
238,laranjal paulista,laranjal paulista,20.0,118.0,138.0
239,rio bonito,rio bonito,0.0,1.0,1.0
240,candido mota,candido mota,9.0,0.0,9.0
241,lupercio,lupercio,3.0,0.0,3.0
242,ribeirao do sul,ribeirao do sul,5.0,0.0,5.0
243,salesopolis,salesopolis,14.0,0.0,14.0
244,palestina,palestina,10.0,0.0,10.0
245,juquitiba,juquitiba,25.0,0.0,25.0
246,marilia,marilia,163.0,104.0,267.0
247,candido rodrigues,candido rodrigues,3.0,0.0,3.0
248,reginopolis,reginopolis,1.0,0.0,1.0
249,itapevi,itapevi,182.0,35.0,217.0
250,divinolandia,divinolandia,5.0,0.0,5.0
251,jales,jales,30.0,87.0,117.0
252,portoferreira,portoferreira,0.0,3.0,3.0
253,pedregulho,pedregulho,10.0,3.0,13.0
254,penapolis,penapolis,52.0,157.0,209.0
255,curitiba,curitiba,0.0,27.0,27.0
256,nova granada,nova granada,15.0,0.0,15.0
257,corumbatai,corumbatai,2.0,0.0,2.0
258,jau,jau,90.0,200.0,290.0
259,caxias do sul,caxias do sul,0.0,1.0,1.0
260,iacanga,iacanga,6.0,0.0,6.0
261,indiapora,indiapora,2.0,0.0,2.0
262,cubatao,cubatao,82.0,0.0,82.0
263,cedral,cedral,4.0,0.0,4.0
264,lutecia,lutecia,1.0,0.0,1.0
265,tejupa,tejupa,2.0,0.0,2.0
266,moncoes,moncoes,2.0,0.0,2.0
267,itu,itu,119.0,14.0,133.0
268,rechan,rechan,2.0,0.0,2.0
269,uchoa,uchoa,3.0,0.0,3.0
270,presidente epitacio,presidente epitacio,20.0,4.0,24.0
271,taquarivai,taquarivai,3.0,0.0,3.0
272,juquia,juquia,8.0,0.0,8.0
273,roseira,roseira,5.0,0.0,5.0
274,lucianopolis,lucianopolis,4.0,0.0,4.0
275,santa gertrudes,santa gertrudes,5.0,0.0,5.0
276,pompeia,pompeia,31.0,13.0,44.0
277,guaimbe,guaimbe,0.0,1.0,1.0
278,sales,sales,5.0,0.0,5.0
279,anhumas,anhumas,1.0,0.0,1.0
280,ribeirao pires,ribeirao pires,97.0,133.0,230.0
