,seller_zip_code_prefix_3_digits,customer_zip_code_prefix_3_digits,frequency,freight_value,delay,phy_dist,efficiency
419,029,082,1,9.34,3.755625,25.649121538382015,0.14642314335717052
420,029,083,2,9.34,7.224774305555556,29.3966564369584,0.2447831448814865
421,029,084,15,9.34,8.26644675925926,34.42578147168996,0.2401237214050514
422,030,010,1,11.76,3.6769560185185184,3.1014024426346554,1.1855784879678264
423,030,011,2,16.49,3.549108796296296,6.467679503238429,0.8628704484768305
424,030,012,1,14.1,2.841203703703704,3.626716358218424,0.7834094048367785
425,030,013,2,15.605,13.100630787037037,4.3909725032983635,2.9948374625226393
426,030,015,1,8.37,9.611979166666666,8.428307430879686,1.140440028498514
427,030,020,6,11.664,4.300900462962963,5.100318059337208,0.9164343207842081
428,030,021,1,7.88,13.11587962962963,4.954956901848146,2.647021939734238
429,030,022,3,22.78,10.552411265432099,6.704108608861738,1.5739974899340263
430,030,023,4,9.2175,3.9950376157407406,7.325793659779662,0.5183454225401488
431,030,024,1,11.83,6.502662037037037,4.416566376068934,1.4723342713180008
432,030,026,1,11.83,6.0758680555555555,7.922324012408027,0.7669300127133739
433,030,028,1,7.78,6.639675925925926,13.628534126734422,0.48718929447453935
434,030,029,2,12.11,17.25458912037037,14.941735101718265,1.1653643921569496
435,030,030,1,9.58,2.1168055555555556,1.1171936690286723,1.8947525520762942
436,030,031,1,7.49,25.76019675925926,6.000711596828983,4.292856995972275
437,030,032,1,8.72,4.582673611111111,12.411165033914582,0.36923798842321076
438,030,033,3,9.520000000000001,4.636585648148149,6.157189925031774,0.7422529998965302
439,030,034,1,11.25,11.79900462962963,9.438788243562618,1.2500550203228378
440,030,035,2,16.755000000000003,4.340208333333333,13.31746615591716,0.328298389222331
441,030,036,3,12.036666666666667,19.002472800925933,10.627204543717895,1.5289824334857578
442,030,038,1,9.24,7.242349537037037,12.63691023396897,0.5731107844359813
443,030,039,2,8.2,4.737795138888889,12.429600229741528,0.34943364893844714
444,030,041,6,11.043333333333335,6.1390567129629625,9.741510614836491,0.6341136805945038
445,030,043,3,9.733333333333334,5.092503858024691,14.75646211861472,0.34778156170738733
446,030,045,2,8.14,3.458009259259259,8.861978871322746,0.45222312375534757
447,030,046,1,16.01,1.3555787037037037,13.794218480552274,0.09827151176522694
448,030,048,8,10.16875,5.880149016203704,28.370391490695415,0.21585627249774658
449,030,049,1,8.88,4.844131944444444,19.28963416723401,0.25112616975768476
