,seller_city,customer_city,frequency,freight_value,delay,phy_dist,efficiency
3861,poa,francisco morato,1,13.88,5.4086689814814815,50.08035858646554,0.1079998053956267
3862,poa,guaira,1,13.71,9.899502314814814,409.9236448839064,0.02414962502984777
3863,poa,ibitinga,1,16.01,4.050092592592593,322.07675781765727,0.012574929715622449
3864,poa,itapevi,1,13.08,1.9721064814814815,61.182502802140306,0.032233177643273735
3865,poa,itarare,3,16.05,5.666863425925926,311.1924176694282,0.01821015906610453
3866,poa,itu,1,9.12,5.013738425925926,102.0682326596078,0.049121438622793445
3867,poa,jaguariuna,1,11.73,2.525925925925926,113.17370090890401,0.02231901851437287
3868,poa,jandira,1,8.88,2.2561805555555554,57.76380437069666,0.039058725098447745
3869,poa,jundiai,1,13.08,0.4269675925925926,66.24475855822682,0.0064453037777668564
3870,poa,marilia,1,16.04,10.736458333333333,399.4657146482501,0.02687704586309073
3871,poa,mirandopolis,1,17.33,8.852939814814814,557.1969807712865,0.01588834850210485
3872,poa,osasco,1,11.73,4.264363425925926,46.79899938017476,0.09112082485533693
3873,poa,praia grande,1,11.43,2.4118055555555555,61.36481136956244,0.039302745363800386
3874,poa,presidente epitacio,3,12.69,6.864918981481481,623.62273913764,0.011008128072710194
3875,poa,ribeirao preto,1,13.4,5.297395833333334,306.6505287805267,0.017275025920874054
3876,poa,rio claro,3,12.4,4.7377314814814815,176.2976862888657,0.02687347509325027
3877,poa,salto,2,12.875,5.3478414351851855,104.1745878663825,0.05141649384540798
3878,poa,santana de parnaiba,1,11.73,4.6622916666666665,56.913988707097054,0.08191820275786238
3879,poa,santo andre,1,13.08,3.9156597222222222,22.88287869335004,0.17111744438693136
3880,poa,santos,2,17.189999999999998,2.51431712962963,50.20306454761087,0.05042333885052615
3881,poa,sao bernardo do campo,3,12.436666666666667,5.601439043209877,33.934023112533005,0.16831679998453666
3882,poa,sao jose do rio preto,1,17.33,3.9253703703703704,433.3668449346958,0.009057846524834833
3883,poa,sao jose dos campos,2,18.095,3.0664178240740743,64.90027802649831,0.04758166514082375
3884,poa,sao paulo,39,14.301515151515153,3.401720679012345,29.259366142415583,0.16881195835173746
3885,poa,sao roque,1,13.08,2.878645833333333,80.91086634679654,0.0355779880170237
3886,poa,suzano,3,13.08,6.657708333333333,5.334994899462591,1.2479315273579705
3887,poa,taboao da serra,2,11.73,4.275729166666666,47.28446908056745,0.09042565666500986
3888,poa,valinhos,1,13.08,1.7579976851851853,90.90752772229632,0.01933830706028553
3889,pompeia,cacapava,1,16.96,5.791539351851852,472.13517883539754,0.012266697360145198
3890,pompeia,ourinhos,1,43.61,3.150497685185185,103.15596744102537,0.03054110938357818
3891,pompeia,sao carlos,1,15.89,8.172326388888889,235.94299383585056,0.034636868236801774
3892,pompeia,sao paulo,9,13.991666666666667,5.332436342592593,401.25497568142856,0.013293394721292375
3893,pompeia,taubate,1,14.36,2.3141666666666665,484.8190083558326,0.004773258941547493
3894,porto ferreira,americana,1,17.26,23.787754629629628,101.47460763641674,0.23442075986990848
3895,porto ferreira,amparo,1,16.74,1.4836574074074074,116.93198426764978,0.012688208591512576
3896,porto ferreira,apiai,3,24.66,7.279594907407407,325.49432106790454,0.0223647370667605
3897,porto ferreira,araras,1,16.45,7.784826388888889,56.23116690737909,0.1384432658442182
3898,porto ferreira,barueri,1,36.14,15.618796296296296,191.14372658258452,0.08171231447425047
3899,porto ferreira,bauru,2,17.94,5.345659722222223,166.83469364470506,0.03202107332264903
3900,porto ferreira,boituva,4,0.08,4.534513888888889,159.2825756377632,0.02846836115458842
3901,porto ferreira,buritama,1,14.81,8.637395833333333,289.8489417742504,0.029799645913700077
3902,porto ferreira,carapicuiba,3,14.44,6.663402777777778,196.6505736139232,0.03388448177557717
3903,porto ferreira,ferraz de vasconcelos,1,14.13,3.9507523148148147,219.19741219455992,0.01802371786811115
3904,porto ferreira,franca,13,28.19,2.0304050925925927,148.86009824889192,0.013639686635150439
3905,porto ferreira,guaracai,6,43.85,10.086290509259259,396.96053619253433,0.02540879908618219
3906,porto ferreira,guarulhos,3,12.73,9.031180555555556,205.56420101908247,0.0439336251681157
3907,porto ferreira,itapecerica da serra,1,11.85,10.474664351851851,217.35788278570777,0.04819086484283976
3908,porto ferreira,itapetininga,15,22.17,3.181064814814815,200.0558760374875,0.01590088168276912
3909,porto ferreira,itatiba,1,11.85,17.8215625,140.59582467941752,0.12675740933727017
3910,porto ferreira,jaboticabal,1,15.98,14.605972222222222,108.9413597286652,0.1340718736997646
3911,porto ferreira,jacarei,1,45.57,7.081921296296296,222.03505847601588,0.03189550940695828
3912,porto ferreira,jundiai,1,22.17,3.5232407407407407,158.88220044644007,0.022175175890319077
3913,porto ferreira,marilia,1,12.79,10.9609375,260.2727394075666,0.04211327519335798
3914,porto ferreira,ocaucu,1,15.98,7.172974537037037,259.4867235934962,0.0276429346276459
3915,porto ferreira,olimpia,1,16.74,6.926782407407408,194.21818323681555,0.03566495315714797
3916,porto ferreira,osasco,3,21.38,8.041801697530865,199.97498878716408,0.0402351254631256
3917,porto ferreira,paraguacu paulista,2,17.095,11.18712962962963,325.45230703303895,0.03437409840973702
3918,porto ferreira,paranapanema,1,11.85,10.786076388888889,212.82188368461962,0.05068123729640866
3919,porto ferreira,rio claro,2,34.6,6.597702546296296,62.63061377586467,0.10521965715387804
3920,porto ferreira,salmourao,1,12.79,8.038854166666667,350.20593228978237,0.022954648752251332
3921,porto ferreira,santana de parnaiba,2,30.71,7.921319444444444,186.8389479003423,0.0423965106497473
3922,porto ferreira,santo andre,1,15.98,19.84252314814815,221.60742962384202,0.08953906997535681
3923,porto ferreira,santos,2,19.49,6.650138888888889,259.8181995378406,0.025595354369778646
3924,porto ferreira,sao bernardo do campo,3,23.63,8.064074074074075,224.61080929367918,0.03590243096239539
3925,porto ferreira,sao carlos,1,24.66,9.249583333333334,48.79090849306884,0.18957596033792473
3926,porto ferreira,sao jose dos campos,1,24.66,5.573043981481481,224.6814299835092,0.02480420380932471
3927,porto ferreira,sao paulo,50,20.326176470588237,12.263370761846407,207.96547977777416,0.059466805918443305
3928,porto ferreira,sao vicente,1,17.26,14.20605324074074,259.9129094827708,0.05465697440350664
3929,porto ferreira,sorocaba,4,14.176666666666668,9.35676311728395,182.19946686371978,0.05138564392727851
3930,porto ferreira,sumare,6,14.44,4.711041666666667,108.62314465658731,0.04337051446596074
3931,porto ferreira,suzano,1,17.34,12.316412037037036,220.21635963942026,0.05592868784682386
3932,porto ferreira,vinhedo,1,14.44,7.2868865740740745,139.29263863082662,0.052313508062596395
3933,portoferreira,sao bernardo do campo,3,26.9,43.706689814814816,225.27592316764404,0.19401403043985985
3934,pradopolis,araraquara,1,12.9,6.4395138888888885,50.228964364340015,0.12820319850075612
3935,pradopolis,bauru,2,15.235,7.404664351851853,148.3762525686738,0.04987312823813064
3936,pradopolis,braganca paulista,1,12.84,5.769571759259259,234.4492988616709,0.024609038232455558
3937,pradopolis,caieiras,1,15.09,2.0692708333333334,262.2605089629646,0.007890135047459805
3938,pradopolis,campinas,3,13.576666666666668,8.508788580246913,202.50887047921864,0.04202856138621323
3939,pradopolis,conchal,1,12.54,7.012951388888889,143.43146305530536,0.048894093663290485
3940,pradopolis,embu das artes,1,16.42,11.482511574074074,288.1637732908493,0.03984717247051229
3941,pradopolis,guaruja,2,13.805,6.579577546296297,347.40390737694145,0.018912664090065683
3942,pradopolis,guarulhos,2,12.825,7.2320775462962965,281.424615183417,0.025675234167444074
3943,pradopolis,hortolandia,1,12.89,7.206747685185185,192.52786145361688,0.03743223256505869
3944,pradopolis,indaiatuba,1,12.54,8.356284722222222,208.3123529719118,0.04011420639729876
