,seller_city,customer_city,frequency,freight_value,leadtime,manh_dist
59,alfenas,sorocaba,1,25.25,12.127951388888889,2320.177844769842
60,alfenas,taboao da serra,3,34.215,7.861655092592593,2306.927399076331
61,alfenas,taquarituba,1,18.25,9.95662037037037,2314.3816617773477
62,alfenas,teodoro sampaio,1,33.95,14.324641203703704,2417.172581554832
63,alfenas,teresopolis,1,15.1,15.003287037037037,2427.022020321922
64,alfenas,uberlandia,1,13.47,17.026122685185186,2833.576474930719
65,alvares machado,belo horizonte,1,14.52,4.824826388888889,3279.4723949648323
66,alvares machado,guaruja,1,11.85,2.383796296296296,2816.06583576337
67,alvares machado,rio de janeiro,1,14.52,8.339976851851851,2923.116812790907
68,alvares machado,sao paulo,1,11.85,6.918287037037037,2869.870565360636
69,alvares machado,teofilo otoni,1,14.52,15.284722222222221,3536.6284249312494
70,alvares machado,votorantim,1,10.96,7.223125,2860.4569535724995
71,alvorada,belo horizonte,1,18.99,6.41681712962963,3312.9046882347075
72,alvorada,colina,1,18.3,8.46616898148148,3209.3209316983553
73,alvorada,curitiba,1,15.48,6.064953703703703,2571.545090895583
74,alvorada,itabira,1,22.52,5.286423611111111,3363.6256828695277
75,alvorada,jaguarao,1,13.75,6.994398148148148,1780.1890500152422
76,alvorada,rio de janeiro,1,17.17,6.124583333333334,2896.5420216593625
77,alvorada,teresopolis,1,22.52,6.9212847222222225,2970.190521840907
78,americana,amparo,15,9.09,4.165011574074074,2519.906484310198
79,americana,andradina,1,15.08,19.89701388888889,2730.7791745764594
80,americana,aracaju,1,27.06,45.87726851851852,4079.0151130247154
81,americana,barueri,1,11.44,86.2958912037037,2438.1325096725964
82,americana,belo horizonte,2,16.665,13.955787037037036,2858.50994379843
83,americana,blumenau,2,18.34,13.493402777777778,2108.818862415941
84,americana,braganca paulista,1,9.74,7.155057870370371,2492.660166316363
85,americana,brasilia,1,17.44,12.166666666666666,3384.738608686376
86,americana,cachoeirinha,1,15.23,12.346516203703704,1904.2576726590885
87,americana,cajamar,1,7.78,8.643923611111111,2447.6689875024176
88,americana,campinas,5,7.7625,4.378420138888888,2501.446138926204
89,americana,cariacica,1,15.23,10.34795138888889,2807.3807070315515
90,americana,catalao,1,18.05,21.90798611111111,3073.611059785225
91,americana,concordia do para,1,121.95,9.251087962962963,5401.7103953304295
92,americana,curitiba,1,14.1,16.98900462962963,2243.3956871972673
93,americana,embu das artes,1,7.39,2.1672106481481483,2417.4355657085184
94,americana,fortaleza,1,45.07,9.474398148148149,5138.480525918806
95,americana,guararema,1,11.85,7.181238425925926,2443.7954778036046
96,americana,ibirama,1,18.23,8.845821759259259,2096.137647063072
97,americana,ibiruba,1,23.52,7.172037037037037,1982.778856934468
98,americana,itanhaem,10,12.79,13.447974537037037,2364.4974035450628
99,americana,itapetininga,1,12.79,16.41644675925926,2424.223207658376
100,americana,jacaraci,1,26.01,48.04409722222222,3522.9271500186123
101,americana,joinville,1,18.24,11.409976851851852,2163.9631811254058
102,americana,jundiai,1,12.29,5.852592592592592,2470.564257633177
103,americana,londrina,1,15.1,6.855613425925926,2452.368690173986
104,americana,macae,2,18.23,33.08521412037037,2556.9043465928908
105,americana,macapa,1,67.62,13.209166666666667,5706.585874955201
106,americana,marilia,1,13.05,5.954386574074074,2579.2208191686755
107,americana,maringa,1,87.18,11.424733796296296,2441.4224987817247
108,americana,maua,1,7.39,1.764537037037037,2419.2229526475357
109,americana,minacu,1,16.25,12.037627314814815,3703.225940311073
110,americana,mogi mirim,3,8.64,3.493923611111111,2555.451229233324
111,americana,nilopolis,1,15.24,8.775972222222222,2508.5983805360647
112,americana,nova iguacu,2,17.115000000000002,14.700561342592593,2514.9267190259015
113,americana,nova odessa,1,7.58,2.051886574074074,2514.385835231726
114,americana,ouricuri,1,98.37,15.035069444444444,4519.97293955647
